halucinations;punctuality;relevance;grammar;comprehension;logical_errors;overall
DA;DA;3;4;5;NE;4
NE;DA;4;5;4;NE;5
DA;NE;3;4;4;DA;2
DA;NE;4;4;4;DA;1
NE;NE;3;4;4;DA;2
NE;DA;4;4;3;DA;2
DA;DA;5;5;5;NE;5
NE;DA;5;5;5;NE;5
NE;DA;4;5;3;NE;3
DA;DA;5;5;5;NE;5
DA;DA;4;5;4;DA;4
NE;NE;4;5;4;NE;5
DA;NE;4;5;3;NE;5
NE;DA;3;4;4;NE;4
NE;DA;4;5;4;NE;4
NE;DA;3;5;5;NE;4
DA;NE;4;5;5;DA;1
NE;DA;3;5;5;DA;4
DA;NE;4;5;3;NE;3
NE;DA;5;5;4;NE;4
NE;DA;2;5;2;NE;2
NE;DA;3;2;5;NE;3
NE;DA;3;4;5;NE;3
NE;DA;5;5;5;NE;5
NE;DA;4;5;3;NE;4
NE;DA;3;4;5;NE;3
NE;DA;5;5;5;NE;5
NE;DA;4;3;5;DA;4
NE;DA;4;5;5;NE;5
DA;NE;3;4;4;DA;1
DA;NE;4;4;5;NE;3
NE;DA;4;5;5;DA;4
NE;DA;4;5;4;NE;4
DA;NE;2;5;2;DA;1
NE;DA;5;4;5;NE;5
NE;DA;4;3;5;NE;4
NE;DA;5;4;5;NE;5
NE;DA;5;5;5;NE;5
NE;DA;3;2;3;DA;2
NE;DA;3;4;3;DA;3
